customer_id,first_name,last_name,gender,date_of_birth,email,phone_number,address,city,postcode,customer_since,employment_status,annual_income
CUST101418,Adam,Davies,Male,02-Apr-1990,,07706594614,129 The Grove,MANCHESTER,DO15 9LR,14/07/2009,Unemployed,30772.15
CUST100432,Leo,Harrison,Male,1977-05-28,,07196104279,152 Kings Avenue,manchester,RZ1 3OA,02-Mar-2021,Student,75713.35
CUST102574,James,Lee,Male,05.01.1981,,07140259900,94 Kings Avenue,NOTTINGHAM,VJ86 7DA,2012-02-26,Employed,83679.56
CUST102362,  Florence,Kaur,Female,13.07.1971,florence.kaur@outlook.com,07532082708,33 Manor Road,manchester,YQ36 4NL,01-17-2017,Retired,93573.51
CUST100662,Muhammad,Harris,Male,06/09/1973,muhammadharris@gmail.com,07023277667,147 High Street,Belfast,BU9 5SO,2006-11-02,Employed,108853.14
CUST101617,Mia,Johnson,Female,1950-12-27,mia.johnson@yahoo.com,07652207340,176 The Grove,CAMBRIDGE,AD51 1KH,06-15-2024,Unemployed,111560.02
CUST102140,Jacob,Murphy,Male,28.12.1970,jacobmurphy@outlook.com,07805740287,93 Manor Road,nottingham,F37 6US,10/05/2005,Employed,44041.96
CUST101362,Alice,Phillips,Female,26/01/2001,alice.phillips@icloud.com,07768707661,181 Victoria Road,Oxford,UD58 5QD,26/03/2022,Employed,15218.44
CUST101581,Kai,Lewis,Male,13/01/1971,kai_lewis@yahoo.com,07437450992,152 Green Lane,london,T26 7FU,27-Jul-2008,Employed,102315.02
CUST102027,Max,Khan,Male,08-Feb-2003,maxkhan@icloud.com,07332743140,45 Park Avenue,GLASGOW,Y7 4JX,21-Aug-2018,Unemployed,118405.74
CUST100361,Sophie,Thomas,Female,04-30-1979,,07690882454,132 Mill Lane,NOTTINGHAM,S58 0YK,2012-11-30,Unemployed,31853.12
CUST103123,Muhammad,Hussain,Male,1967-12-06,MUHAMMAD.HUSSAIN@HOTMAIL.COM,07717273622,58 Grange Road,MANCHESTER,F36 0PI,07-Mar-2021,Unemployed,79284.6
CUST101520,Hannah,Ryan,Female,26.12.1996,hannah.ryan@btinternet.com,07414970660,115 Chapel Street,Sheffeld,A22 5RF,06-Apr-2021,Unemployed,101626.39
CUST102438,Daniel,Clark,Male,02/01/2002,daniel_clark@yahoo.com,07254284775,173 Mill Lane,BRISTOL,NQ31 9CU,03-06-2014,Self-Employed,36552.49
CUST101832,Isaac,Mitchell,Male,03/02/1978,isaac.mitchell@gmail.com,07995509239,173 Kings Avenue,Edinburg,XB37 5QJ,09.11.2008,Self-Employed,24651.86
CUST103068,William,Martin,Male,04-Feb-1972,WILLIAM_MARTIN@HOTMAIL.COM,07715398049,101 Grange Road,brighton,YP66 7ET,2010-02-17,Student,
CUST102307,Lily,Thomas,Female,1961-10-24,lily_thomas@hotmail.com,0044 7769427,22 York Road,edinburgh,N17 2AU,16/11/2017,Employed,126812.6
CUST101615,Amy,Phillips,Female,17-May-1968,amy_phillips@icloud.com,07191391493,150 Windsor Close,BRISTOL,ZM15 2BL,2006-07-20,Employed,24761.33
CUST100831,Thomas,Begum,Male,07-16-1958,thomasbegum@gmail.com,07944393065,167 High Street,newcastle,A83 8XV,30-Aug-2016,Unemployed,15137.71
CUST102895,Amy,Jackson,Female,2002-09-01,amy_jackson@hotmail.com,07054412676,34 Windsor Close,LIVERPOOL,K13 9TV,05/05/2012,Student,31678.47
CUST102466,Liam,Khan,Male,21.12.1951,liam.khan@hotmail.com,07466574772,117 York Road,Liverpol,W94 0UR,10.09.2005,Retired,116808.55
CUST100264,Olivia,Roberts,Female,1999-04-10,olivia_roberts@hotmail.com,call me,142 Mill Lane,Cambridg,O54 3AY,27-Sep-2008,Employed,115597.24
CUST102938,Daisy,Williams,Female,19.02.2003,,07298294087,128 London Road,southampton,O35 4GR,16-Mar-2008,Self-Employed,44808.29
CUST101350,Jack,James,Male,10.12.1956,jack_james@hotmail.com,07XX 123456,102 High Street,brighton,GD96 5AO,27/03/2023,Self-Employed,124969.59
CUST101549,Victoria,Jackson,Female,10/10/1996,victoria.jackson@gmail.com,07617385194,82 Station Road,MANCHESTER,UV11 6WB,2013-05-12,Student,28749.11
CUST100053,Megan,Singh,Female,31-Aug-1950,megansingh@gmail.com,07134599918,131 Park Avenue,Glasgow,U26 5NU,16.07.2022,Student,16948.02
CUST100282,Mohammed,Green,Male,05-21-1989,mohammedgreen@hotmail.com,07046061754,151 Grange Road,BRIGHTON,ZW74 6FE,2020-06-19,Unemployed,45564.92
CUST100307,Alfie,Robinson,Male,1983-09-09,alfierobinson@icloud.com,07520332076,155 Green Lane,Cambridg,TY42 9WL,03-12-2021,Unemployed,84456.25
CUST102320,Arthur,Edwards,Male,20/02/1977,arthur.edwards@gmail.com,07726654310,62 Kings Avenue,Cambridg,AV42 0XZ,24.08.2020,Employed,79142.93
CUST103076,Nathan,Phillips,Male,05-Apr-1949,nathanphillips@gmail.com,07267496503,14 Elm Grove,MANCHESTER,HT7 6KX,03-Apr-2008,Retired,45142.28
CUST100008,Victoria,Thompson,Female,1987-03-06,victoriathompson@btinternet.com,07446706662,90 Chapel Street,oxford,W30 4RM,25-May-2008,Student,99093.04
CUST102379,Ella,Mitchell,Female,12-09-1958,ella.mitchell@hotmail.com,07222304284,128 Market Street,nottingham,I61 5EI,11-05-2016,Student,99340.16
CUST102205,Chloe,Davies,Female,29-Nov-1990,chloe.davies@btinternet.com,07597437029,92 Grange Road,BIRMINGHAM,DN7 0XW,04-May-2024,Student,71473.27
CUST102658,Jessica,Lewis,Female,1987-03-21,jessicalewis@outlook.com,07121901575,94 The Grove,birmingham,A10 6LA,23-Sep-2011,Unemployed,46891.23
CUST100815,Zara, Johnson  ,Female,12-21-1973,zara.johnson@outlook.com,07455911433,51 Manor Road,cambridge,VY56 2DK,08/03/2024,Self-Employed,42466.42
CUST102799,Edward,Evans,Male,03-17-1987,edward_evans@yahoo.com,07707385667,145 Manor Road,NEWCASTLE,AZ24 5XT,06-05-2016,Employed,26593.36
CUST101091,Victoria,Ryan,Female,11.11.1945,,07771146704,87 Victoria Road,York,R23 9CP,07/08/2011,Self-Employed,117249.39
CUST101579,Dylan,Ali,Male,07-Apr-1965,dylan.ali@hotmail.com,07679977115,191 York Road,Coventary,BG57 7MD,25/06/2020,Unemployed,46066.31
CUST101601,Jacob,Ryan,Male,1992-04-27,jacob_ryan@gmail.com,07348994083,9 Queens Road,CAMBRIDGE,G61 3XT,01/06/2012,Student,25641.39
CUST102823,Olivia,Moore,Female,1977-08-24,olivia.moore@gmail.com,07336573472,41 Victoria Road,york,AV79 5RY,08-May-2006,,
CUST100673,Molly,Ahmed,Female,08.06.1985,molly_ahmed@icloud.com,07798533729,165 London Road,GLASGOW,U9 0HW,09.06.2019,Student,35628.58
CUST102513,Finley,Moore,Male,07-21-1953,finley_moore@outlook.com,07485143622,73 Chapel Street,belfast,TW47 3AJ,23-Jul-2013,Self-Employed,26874.1
CUST101426,Alice,Ryan,Other,01.12.1991,aliceryan@gmail.com,07980315806,42 Chapel Street,leeds,G50 7NG,09-09-2021,Retired,111335.73
CUST103096,Finley,Kaur,Male,01.04.1980,FINLEY_KAUR@BTINTERNET.COM,07723412525,114 High Street,liverpool,RC44 6BI,09-Sep-2005,Retired,75593.54
CUST101313,Muhammad,Harrison,Male,02-19-1947,muhammad_harrison@yahoo.com,07748968255,97 Orchard Way,Liverpol,R77 7MI,09-10-2017,Retired,35498.61
CUST101458,Thomas,Mitchell,Male,15/01/1945,thomas_mitchell@hotmail.com,07065068411,140 Park Avenue,cardiff,A45Z,16-May-2014,Self-Employed,82908.61
CUST101891,Samuel,Byrne,Male,04/01/2000,samuel_byrne@icloud.com,07218116875,192 Manor Road,leeds,IV6 5XH,20/01/2016,Employed,24715.66
CUST102682,Joshua,Williams,Male,22/10/1985,joshua_williams@btinternet.com,07437715567,9 Kings Avenue,BRIGHTON,V89 6LL,20.03.2008,Employed,87834.2
CUST100975,Charlie,Kaur,Male,18/03/2004,charlie_kaur@btinternet.com,07455226836,116 Kings Avenue,Sheffeld,GU50 8EU,09/09/2012,Unemployed,65098.61
